1	rooms for rent
1	free Wi-Fi
2	fast-food
2	burgers
2	fries
2	milkshakes
2	wheelchair access
3	Ethiopian food
3	African food
3	vegetarian food
3	vegan food
3	coffee
3	spicy food
3	takeaway
4	Scandinavian food
4	European food
4	Michelin star rated food
4	wheelchair access
4	French food
5	vegan food
5	tea
5	takeaway
5	wine
5	beer
5	wheelchair access
6	Italian food
6	pizza
6	vegetarian food
6	vegan food
6	gluten-free food
6	wheelchair access
6	wine
7	drinks
7	coffee
7	takeaway
7	wine
7	beer
7	pastries
7	cosy atmosphere
8	drinks
8	beer
8	wine
9	bowling
9	drinks
9	beer
9	takeaway
9	wine
10	Chinese food
10	Asian food
10	vegan food
10	vegetarian food
10	gluten-free food
11	burgers
11	takeaway
11	wheelchair access
11	beer
11	drinks
11	fries
11	vegan food
11	vegetarian food
11	gluten-free food
11	American food
11	wine
11	salad
12	wheelchair access
12	local history
13	drinks
13	beer
13	wine
14	fast-food
14	takeaway
14	milkshakes
14	fries
14	vegetarian food
14	burgers
14	coffee
14	wheelchair access
14	free Wi-Fi
15	Indian food
15	curry
15	vegan food
15	vegetarian food
15	takeaway
16	Mexican food
16	vegan food
16	vegetarian food
16	gluten-free food
16	takeaway
16	wine
16	beer
16	burritos
16	tacos
17	nature
18	Turkish food
18	Middle-Eastern food
18	takeaway
18	vegetarian food
18	kebab
18	dessert
18	salad
19	Pakistani food
19	Indian food
19	takeaway
19	kebab
19	beef
19	byryani
19	naan
20	Thai food
20	Asian food
20	takeaway
20	sushi
21	wine
21	beer
21	coffee
21	alcohol
21	drinks
21	breakfast
21	smoothies
21	outdoor seating
22	sandwich
22	drinks
22	wine
22	beer
23	burgers
23	pizza
23	dessert
24	wine
24	beer
24	craft beer
24	coffee
24	drinks
24	breakfast
24	smoothies
24	outdoor seating
25	vegetarian food
25	gluten-free food
25	coffee
26	natural history
27	local history
28	local history
29	local history
30	local history
31	movies
31	popcorn
32	rooms for rent
32	free Wi-Fi
33	rooms for rent
33	free Wi-Fi
34	rooms for rent
34	free Wi-Fi
35	treatment
35	free Wi-Fi
36	education
36	free Wi-Fi
37	shopping
38	noodles
38	Asian food
38	seafood
38	vegan food
38	vegetarian food
38	gluten-free food
38	fusion food
39	Asian food
39	seafood
39	sushi
39	takeaway
40	Asian food
40	seafood
41	fast-food
41	burgers
41	fries
42	Asian food
42	seafood
42	spring rolls
43	coffee
43	tea
43	pastries
43	muffins
43	free Wi-Fi
44	coffee
44	tea
44	ice coffee
44	muffins
44	cappuccino
44	free Wi-Fi
45	donuts
45	vegan food
45	vegetarian food
45	takeaway
46	books
46	free Wi-Fi
47	craft beer
47	beer
47	drinks
47	wine
47	cosy atmosphere
48	Greek food
48	hummus
48	gyros
48	takeaway
48	beer
48	wine
48	coffee
48	drinks
48	cosy atmosphere
49	chocolate
49	candy
50	ice cream
50	takeaway
50	wheelchair access
51	shopping
51	free Wi-Fi
52	Pakistani food
52	Indian food
52	takeaway
52	kebab
52	beef
52	byryani
52	naan
53	Indian food
53	curry
53	vegan food
53	vegetarian food
53	takeaway
54	air travel
55	drinks
55	dancing
55	partying
56	groceries
57	groceries
